id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
19664,Kerala Vibes,No,No,3.6,80,Jeevan Bhima Nagar,Casual Dining,Roast Beef,Kerala,500.00,Delivery
19665,Desi Tadka Khana,No,No,0,0,Thippasandra,"Takeaway, Delivery",NA,North Indian,400.00,Delivery
19666,Shiv Sagar,No,No,0,0,Domlur,Quick Bites,NA,"South Indian, North Indian, Street Food",250.00,Delivery
19667,RAAT KI FOOD,No,No,0,0,Indiranagar,"Takeaway, Delivery",NA,"Chinese, Fast Food, North Indian",300.00,Delivery
19669,Bangalore Express,No,No,0,0,Thippasandra,"Takeaway, Delivery",NA,"Bengali, Chinese, Seafood",300.00,Delivery
19670,CraveBelly Veg & Non veg,No,No,0,0,Old Airport Road,Quick Bites,NA,"Fast Food, South Indian",150.00,Delivery
19671,Bowls & Combos Co.,No,No,0,0,Indiranagar,Delivery,NA,"Chinese, Thai, North Indian",300.00,Delivery
19672,TFC - Tony's Food Corner,Yes,No,3.1,23,"ITPL Main Road, Whitefield",Casual Dining,NA,"North Indian, Chinese",400.00,Delivery
19674,Crispy Crust Pizza,Yes,No,3.1,45,Indiranagar,Delivery,NA,Pizza,450.00,Delivery
19679,The Parotta Master,Yes,No,2.9,43,Jeevan Bhima Nagar,Delivery,NA,South Indian,400.00,Delivery
19680,Mayo N Burger,Yes,No,3.2,4,Indiranagar,Quick Bites,NA,American,250.00,Delivery
19691,Waffle In The Box,Yes,No,0,0,Thippasandra,Dessert Parlor,NA,Desserts,300.00,Delivery
19693,Bowlful,Yes,No,3.6,12,Domlur,"Takeaway, Delivery",NA,North Indian,500.00,Delivery
19695,Cinnamon's Kitchen,Yes,No,3.7,25,Old Airport Road,Quick Bites,NA,"North Indian, South Indian, Fast Food",300.00,Delivery
19696,Hungry Darjeeling Chinese and Thai,Yes,No,0,0,Thippasandra,Quick Bites,NA,"Chinese, Thai",300.00,Delivery
19697,SOS,Yes,No,0,0,Indiranagar,Quick Bites,NA,"North Indian, Biryani, Chinese",300.00,Delivery
19699,Mojo Pizza - 2X Toppings,Yes,No,4.3,203,Indiranagar,"Takeaway, Delivery","Garlic Bread, Chocolava Cake, Chicken Pizza",Pizza,600.00,Delivery
19712,Milano Ice Cream,No,No,4.9,2090,Indiranagar,Dessert Parlor,"Pie, Vanilla Gelato, Mango Ice Cream, Tiramisu, Truffle, Gelato Ice Cream, Ice Cream Sandwiches","Ice Cream, Desserts",400.00,NA
19718,CakeWalk,No,No,4.1,540,Indiranagar,Dessert Parlor,"Rainbow Pastry, Cheesecake, Brownie, Fruit Cake, Rainbow Cake, Pie, Sandwiches","Desserts, Bakery",500.00,Desserts
19726,Spoonful Of Sugar,No,No,4,863,Indiranagar,"Dessert Parlor, Cafe","Chicken Lasagne, Bannoffee Pie, Cup Cake, Salad, Salads, Nutella Cheesecake, Tiramisu","Desserts, Bakery, Cafe",800.00,Desserts
19729,Pulla Reddy Sweets,No,No,3.6,27,Indiranagar,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",250.00,Desserts
19730,Amma's Pastries,No,No,4,74,Indiranagar,Dessert Parlor,"Blueberry Cheesecake, Lava Cake",Bakery,400.00,Desserts
19753,Shree Mithai,No,No,3.5,11,Indiranagar,Quick Bites,NA,"Desserts, Street Food, Mithai",150.00,Desserts
19756,Sweet Truth,Yes,No,4,48,Indiranagar,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Lava Cake, Chocolava Cake, Chocolate Cake, Red Velvet Cake","Bakery, Desserts",500.00,Desserts
19758,The French Loaf,Yes,No,3.5,138,Indiranagar,"Bakery, Quick Bites","Cup Cake, Almond Pie, Chicken Delight, Apple Pie, Chicken Quiche","Bakery, Desserts, Sandwich",400.00,NA
19769,KC Das - Sweet Paradise,No,No,2.9,52,Indiranagar,"Sweet Shop, Quick Bites","Rasgulla, Samosa","Mithai, Street Food",200.00,Desserts
19773,Cafe Coffee Day The Lounge,Yes,No,2.9,59,Indiranagar,Cafe,"Coffee, Sandwiches, Pasta","Cafe, Fast Food",650.00,Desserts
19775,Baskin Robbins,No,No,3.8,80,Indiranagar,Dessert Parlor,"Cotton Candy, Banana Split","Ice Cream, Desserts",250.00,Desserts
19785,Orchard Fresh,No,No,3.4,4,Indiranagar,Dessert Parlor,NA,"Ice Cream, Desserts",400.00,Desserts
19796,Ice Creamist,No,No,0,0,Indiranagar,Dessert Parlor,NA,"Ice Cream, Desserts, Beverages",300.00,Desserts
19802,Madhu Iyengars Bakery,No,No,3.6,19,Domlur,Bakery,NA,Bakery,400.00,Desserts
19815,Shanthi Sweets & Bakery,No,No,3.4,9,Thippasandra,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",200.00,Desserts
19816,Delicious Ice Cream Parlour,No,No,3.2,6,Jeevan Bhima Nagar,Dessert Parlor,NA,"Ice Cream, Desserts",300.00,Desserts
19817,Kanti's,Yes,No,3.3,66,Thippasandra,Sweet Shop,"Thali, Paratha","Mithai, Street Food",300.00,Desserts
19821,Oven Fresh,No,No,0,0,Domlur,Bakery,NA,"Bakery, Fast Food",600.00,Desserts
19822,Cake N Cream,No,No,0,0,Jeevan Bhima Nagar,Bakery,NA,"Bakery, Desserts",360.00,Desserts
19823,Chill Out,No,No,3.4,9,Thippasandra,Beverage Shop,NA,"Beverages, Juices",150.00,Desserts
19824,Cake Inc.,No,No,0,0,Domlur,Bakery,NA,"Bakery, Desserts",450.00,Desserts
19835,The Leela Cake Shop - The Leela Palace,No,No,3.9,72,Old Airport Road,Dessert Parlor,Macaroon,"Desserts, Bakery",1200.00,Desserts
19837,Ice Cream Buggy,No,No,3.6,14,East Bangalore,Food Truck,NA,"Ice Cream, Desserts",100.00,Desserts
19847,New Udupi Fresh Juice Centre,No,No,3.4,9,CV Raman Nagar,Quick Bites,NA,"Juices, Desserts, Fast Food",200.00,Desserts
19858,Homey Bake & Juice,No,No,0,0,Old Airport Road,Bakery,NA,Bakery,100.00,Desserts
19865,Toit,No,No,4.7,14956,Indiranagar,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","Italian, American, Pizza",1500.00,NA
19872,Arena - Artisanal Brewkitchen,No,Yes,4.1,177,Indiranagar,"Pub, Casual Dining","Cocktails, Mocktails, Pizza, Sushi, Beer","Sushi, Continental, Pizza, Italian, Asian",2000.00,Dine-out
